,,,,,mobilitaet,mobilitaet,infrastruktur,mobilitaet,mobilitaet,mobilitaet,infrastruktur,stadtbild,mobilitaet,stadtbild,wirtschaft,infrastruktur,stadtbild,mobilitaet,mobilitaet,stadtbild,stadtbild,stadtbild,mobilitaet,stadtbild,gesellschaft,politik,gesellschaft,politik,infrastruktur,stadtbild,gesellschaft,gesellschaft,gesellschaft,gesellschaft,kultur,parks,gesellschaft,parks,wirtschaft,umwelt,gesellschaft,gesellschaft,gesellschaft,gesellschaft,politik,wirtschaft,politik,gesellschaft,kultur,gesellschaft,politik,politik,politik,kultur,kultur,politik,parks,raeume,raeume,raeume,raeume,stadtbild,mobilitaet,politik,bildung
29,"Ich wohne erst seit kurzem in Fürth, aber was mir bis jetzt grundsätzlich aufgefallen ist, dass ich mir weniger Verkehr wünschen würde,",m,31-40,Südstadt,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Was sicherlich auch bedenklich ist (wie in vielen anderen Städten auch), die explodierenden Mieten, oder die Immobilienpreise im allgemeinen.",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
29,attraktive Carsharingangebote,m,31-40,Südstadt,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"und einen günstigen öffentlichen Nahverkehr.Es ist eigentlich der Wahnsinn, dass wir als Paar ca. 13 Euro zahlen müssen um nach Nürnberg mit der Ubahn zu fahren",m,31-40,Südstadt,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
29,", ...dann würden mich noch mehr Angebote nach Gemeinschaftsgärten freuen.",m,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
29,"Die Wunschvorstellung wäre, dass sich Gemeinschaftliche Wohnprojekte/Quartiere entwickeln, Bestandsgebäude umgenutzt/saniert werden bsp. wie in Wien, und dadurch attraktiver (begrünte Innenhöfe, Gemeinschaftsflächen, etc.) und bezahlbarer Wohnraum für alle entsteht.",m,31-40,Südstadt,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
30,Alten und leeren Baubestand sanieren statt Neubau. Wäre schöner und würde weniger Fläche versiegeln.,w,51-60,Südstadt,,,,,,,,,,,,,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Verbesserte Radwegestruktur.,w,51-60,Südstadt,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Gerne Kleinkunst, Subkultur, etc. Ist charmanter als Großprojekte.",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,x,,x,,,,,
30,"Umweltschutz: Weniger Verbrauch im Kleinen, z.B. überflüssige Werbung in Plastkbeuteln. Weniger Müll auf den Straßen.",w,51-60,Südstadt,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
31,Rassistische Vorurteile bei den Menschen abbauen.,w,31-40,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
31,Die gesamte Stadt fahrradfreundlicher gestalten.,w,31-40,Südstadt,,,,x,,x,,,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
32,"Die Autos mehr aus der Innenstadt drängen, mehr Platz für Fußgänger/innen und Radfahrer/innen.",w,51-60,Espan,,,,x,,x,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Es wäre schön, wenn Gebäude begrünt würden, nicht nur auf Dächern, sondern auch an Fassaden.",w,51-60,Espan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Vielleicht wäre es möglich, Park und Ride Parkplätze z.B. bei Ikea oder im Gewerbegebiet in der Südstadt einzurichten und von dort aus dann kostenlose Schuttlebusse zur Innenstadt einzusetzen.",w,51-60,Espan,x,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Es gibt auch noch keine Leihräder in Fürth (obwohl das wahrscheinlich gar nicht nötig ist, da alle Wege gut zu Fuß zu erreichen sind. Für ältere, gehbehinderte Menschen müssten natürlich Ausnahmen gemacht werden.",w,51-60,Espan,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Viel mehr Fahrradwege einrichten/bauen.,w,51-60,Unterfarrnbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Wir sind ALLE nur Menschen, und in Fürth, wie (fast) überall gibt es positiv & negativ. ÖPNV ist zu wenig & zu teuer.",m,61-70,Innenstadt,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
34,PKWs viel zu viel und verbrauchen viel zu viele Ressourcen.,m,61-70,Innenstadt,,x,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,
34,"Es wird viel zu wenig an Füß- & Radwege wirklich gedacht. Soziale Ungleichheit ist sehr stark und verstärkt sich, und die Politiker & Co. ignorieren & verneinen es.",m,61-70,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
35,"Den Ausbau erneuerbarer Energie in Form von PV und Windkraft vorantreiben und Anreize schaffen, damit sehr viele Flächen genutzt werden können.",m,41-50,Eigenes Heim,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
35,"Auch im Bereich Verkehr mehr machen, um die Geschwindigkeit zu reduzieren. Dabei viel mehr 30er Zonen ausweisen und auch ""Haupt""-Straßen mit T30 belegen, auch wenn sie Vorfahrtstraßen sind und eine Buslinie darauf fährt. Durch mehr T30 braucht es auch weniger Radwege, bzw. Fahrradstraßen, die eigentlich auch nur wieder Parkplätze sind.",m,41-50,Eigenes Heim,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Die Attraktivität für Carsharing (privat und gewerblich) erhöhen und dann im zweiten Schritt die Attraktivität für das private Eigentumsauto reduzieren. Z.B. Straßenbäume anstatt Parkplätze.,m,41-50,Eigenes Heim,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Keine weiteren Genehmigungen für ""Nah""-Versorgungszentren am Stadtrand, sondern eine echte Nachversorgung in den Wohngebieten fördern. Alle wichtigen Sachen zum Einkaufen sollten in 15 Minuten zu Fuß erreichbar sein. Preise für den ÖPNV senken. Tarif B ist im Verhältnis zu Tarif A viel zu teuer.",m,41-50,Eigenes Heim,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Den Durchgangsverkehr für den MIV in der Innenstadt erschweren. Für die Friedrichstraße würde eine Fahrspur nach Süden auch reichen und die zweite für Fahrräder und Einsatzkräfte im beide Richtungen öffnen,m,41-50,Eigenes Heim,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
36,Autos raus aus der Innenstadt - v.a. die Fürther Freiheit als Platz für Alle ohne Autos.,w,61-70,Innenstadt,,,,,,,,,,,,,,,,,,x,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Dafür günstiger / kostenloser ÖPNV konsumfreie Zusammenkünfte organisieren, um Begegnungsmöglichkeiten zu schaffen mehr Kunst im Öffentlichen Raum",w,61-70,Innenstadt,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
37,Bessere Fahrradwege,w,31-40,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Weniger vierspurige Straßen/zweispurige Einbahnstraßen in der Innenstadt zugunsten von Radwegen, um die Radler vom Bürgersteig weg zu kriegen.",m,51-60,Innenstadt,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tempo 30-Kontrollen durch fest installierte Blitzern (z.B. Friedrichstraße).,m,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
38,Bekämpfung von Auto/Motorrad-Posern.,m,51-60,Innenstadt,,x,,,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Autos raus aus der Stadt! Quatiersmanagement,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Verbindungen und Mitmachprojekte in den Stadtteilen Förderung von grüner Energie Förderung von pflanzenbasierter Ernährung (Kantinen, Schulen, etc.)",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,x,,x,,,,,
40,"Die Innenstadt autofrei machen, Radwege ausbauen, mehr Konzerte, Häuser begruenen",w,51-60,Stadtgrenze,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,
41,Alle Corona-Maßnahmen abschaffen. Mehr Begegnungsmöglichkeiten zwischen allen Fürthern schaffen.,w,51-60,Ritzmannshof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,
42,Da ich ein Kind mit behinderung habe. Wäre eine anlaufstelle für Eltern die besondere Kinder haben sehr schön. Diese sollte mit Rat und Tat den betroffenen bei Seite Stehen.,w,41-50,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
43,"Mehr Fahrräder nach Fürth im die Innenstadt, Autos weg. Straßen begrüßen wie Auen.",m,41-50,Innenstadt,,,,x,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Verkehrswende voranbringen und sozialen Zusammenhalt stärken,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,
45,"Autos raus aus der Stadt; Bäume, Entsiegelung rein; Plätze zum Treffen ohne Konsum.",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
45,mehr Beteiligung und mehr Transparenz bei politischen Entscheidungen;,w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,
45,NachbarschaftsmotiviererInnen installieren; leer stehenden Wohnraum angehen und vermeiden;,w,51-60,Südstadt,,,,,,,,,,,,,x,,,,x,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TEmpo 30 überall,w,51-60,Südstadt,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Straßen und Plätze für die Menschen statt fürs Blech: da wo sich Alte und Kinder und Behinderte sicher fühlen, ist es menschlich!",w,51-60,Südstadt,,,,,,,,,,,,,,,x,,,x,,,x,x,,,,,,,,,,,,,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,
45,"anderes Bauen: alte Menschen sollen im Haus/in ihrer Straße bleiben können, aber in kleinere Wohnungen ziehen;",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Fahrrad freundlicher und barrierefreier,w,51-60,Ronhof,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Fahrrad freundlicher,",w,41-50,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"mehr Mitmach Kultur, günstig sein/ erschwinglich für Kunst und Kultur",w,41-50,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,x,x,,,,,x,,,,,
48,"Tempo 30 im ganzen Stadtgebiet, Ausbau und Verbesserung der Radwege.",w,51-60,Innenstadt,,,,x,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Deutlich mehr Grünflächen in der Innen- und Altstadt - siehe Holland, da wurde in ganz vielen Städten der ""stehende/parkende"" Verkehr aus den Städten verbannt.",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Es gibt Parkhäuser und zentrale Parkplätze, dafür gehören die Straßen den Fußgängern und Radfahrern. Nur Anlieferung ist möglich. Das würde die Lebensqualität deutlich verbessern.",w,51-60,Innenstadt,,,,x,,x,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Weniger Lärm und Abgase, Kinder können zum spielen nach draußen, Anwohner können sich treffen, reden, sich kennenlernen. Ein ganz neues Wohn-Gefühl entsteht",w,51-60,Innenstadt,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Noch viel mehr grün anstelle der ständigen Bodenversiegelungen. -,w,41-50,Südstadt,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Endlich eine Lösung für das Taubenproblem, mit der Mensch und Taube leben können.",w,41-50,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Fahrradwege, die nicht plötzlich in lebensgefährdenen Situationen enden und einen zusammenhängend von A nach B bringen.",w,41-50,Südstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
49,"Hohe Strafen für die Wegwerfmentaliät so vieler: Müll, Zigarettenkippen, Kaugummis, Hundekot. Das schadet niemandem, im Gegenteil.",w,41-50,Südstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
50,Autofreie Stadt - damit das Leben auf den Straßen stattfinden kann.. Leute sitzen an Tischen .. Kinder spielen auf den Straßen.,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Öffentliche Verkehrsmittel für alle - jeder zahlt einen fairen Beitrag, jeder kann Bahn und Bus frei nutzen.",m,31-40,Innenstadt,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
51,Freiwillige Integrationsprojekte Fahrradweg nach Nürnberg (Nürnberger / Fürther Straße),w,41-50,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Ein Gymnasium im Norden von Fürth würde den ÖPNV entlasten, weil nicht mehr alle Gymnasiasten aus dem Norden in die südliche Stadt fahren müssen. Weitere Mehrgenerationen-Häuser wie jetzt in der Oststadt entstanden, könnten gebaut werden. Diese könnten auch als Stadtteil-Treffpunkte genutzt werden.",m,61-70,Stadeln,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Die städtischen Dienststellen sollen den bereits beschrittenen Weg der Digitalisierung fortsetzen. Besuche vor Ort in den Ämtergebäuden sollten zur Ausnahme werden.,m,61-70,Stadeln,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
52,"Um nicht noch mehr Flächen zu versiegeln, würde ich das alte Postgebäude am Bahnhof durch ein ""grünes"" Hochhaus, als schick und begrünt, ersetzen, einen Hingucker für die Stadt. Evtl. noch weitere Wohn-Hochhäuser in dem Bereich (Maxstraße, Schwabacher Straße) ergänzen. Zwischen Gustav-Schickedanz-Straße und Hornschuch-Center könnte entlang der Königswarterstraße ein überdachter Fuß-Radweg entstehen, um die Einkaufsbereiche miteinander zu verbinden. Für den öffentlichen Nahverkehr könnte eine Ringverbindung entstehen von Burgfarrnbach im Westen bis zur B4 im Osten, dann über Poppenreuth und die Stadtgrenze in die Südstadt und über die Hardhöhe wieder nach Burgfarrnbach. Ferner müsste man sich noch mehr Gedanken zu Park&Ride-Gelegenheiten an den U-Bahn-Stationen machen.",m,61-70,Stadeln,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
53,Weniger Autos in der Innenstadt und statt dessen viel mehr Bäume. Mehr bezahlbarer Wohnraum (auch für Singles),w,41-50,Eigenes Heim,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Trennung von Fahrrad- und Fußwegen,m,70+,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
55,"Mehr offene, unkommerzielle Räume für gesellschaftliches Engagement, , ,",w,31-40,Ronhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,
55,Unterstützung und Schutz für sozial benachteiligte (Verbot von stromsperrungen etc.),w,31-40,Ronhof,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
55,"städtischer sozialer Wohnungsbau,",w,31-40,Ronhof,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
55,"Anschaffung und nutzung neuer städtischer Flächen, nachhaltiges verkehrskonzept mit kostenlosem und ausgebautem öpnv, Kulturförderung (auch alternative)",w,31-40,Ronhof,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,
55,"Ausbau Jugend-und Sozialarbeit,... Eine sozialer, gerechtere Stadt mit weniger Prestigeprojekten, aber mehr Angebote und Beteiligung für sozial ausgegrenzt!",w,31-40,Ronhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,,x,,,,
56,"mehr Grün in die Stadt pflanzen verkehrsberuhigtere Zonen in der Innenstadt schaffen Fahrradwege ausbauen, neue Mobilitätskonzepte umsetzen,",w,51-60,Innenstadt,,,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Elektromobilität fördern, Car-Charing Angebote und den öffentlichen Nahverkehr ausbauen bessere, sprich schönere Wohnungsbaukonzepte, die auf Nachhaltigkeit aufgebaut sind und nicht nur auf Wohnraumverdichtung und Gewinnmaximierung für den Investor ausgelegt sind kleine Läden erhalten und fördern, statt große Einkaufscenter, die in jeder Stadt zu finden.",w,51-60,Innenstadt,x,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Fürth hat unglaublich viel Charme durch seine schöne alte Architektur, seine besonderen Hinterhöfe, den vielen Kreativen, die sich in dieser Stadt angesiedelt haben, den kleinen Läden etc.",w,51-60,Innenstadt,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Freizeit Aktivitäten vor allem für Jugendliche erweitern (Eishalle, Club, ...)",w,unter 20,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,
57,"Mehr bewusstes Einkaufen ermöglichen [Second-Hand, Lebensmittel retten, etc. (Siehe Erlangen)]",w,unter 20,Innenstadt,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
58,Den Flächenverbrauch stark eindämmen,m,51-60,Vach,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
59,"Getrennte Fahrrad- und Fußwege, da die momentane Durchführung für beide, ""Fußgänger und Fahrradfahrer"" eine Zumutung ist.",w,51-60,Poppenreuth,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,
60,Wildblumengärten,w,51-60,Poppenreuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
60,Fränkische Bierbrauer-Woche als Pendant zum Weinfest in der Gustavstrasse,w,51-60,Poppenreuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,,,,,,
60,Vorlesepaten von Senioren in Grundschulen Generationenfest - Alt-hilft-Jung Aktion „Unsere Stadt soll schöner werden“,w,51-60,Poppenreuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,x,,,,,,,,,,
61,"Angebote / Orte für Jugendliche und junge Erwachsene, Autofreie Innenstadt",w,21-30,Hardhöhe,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,
62,Weniger Auto- und Lieferwagenverkehr; mehr Grün.,w,41-50,Innenstadt,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kostenloser öffentlicher Nahverkehr. Parkplätze mit der Möglichkeit zum Laden des Autos.,w,31-40,Westvorstadt,x,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
64,Nicht noch mehr Parkplätze abbauen! Wenn man 10 mal durch die Stadt cruisen muss um einen Parkplatz zu finden macht es das auch nicht umweltfreundlicher. Und nicht jeder hat die Option auf ein Auto zu verzichten.,w,21-30,Innenstadt,,x,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Es gibt schon einige tolle Angebote wie vom zett9, aber es sind oft nur die selben Leute da und man fühlt sich etwas wie das 5. Rad am Wagen wenn man neu dazukommt. Wäre cool wenn das etwas offener werden würde. Und es wäre bestimmt schön wenn es Angebote für neu zugezogene gäbe, wo sie Leute kennen lernen können, die Stadt ein bisschen gezeigt bekommen...",w,21-30,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,
65,"Busse dürfen nur noch elektrisch fahren. ...Mehr Spielplätze in den Stadtrandgebieten z.b. Oberfürberg, Stadeln, Vach, Atzenhof.",w,51-60,Südstadt,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,
65,"Verkehrsberuhigte Zonen in der Schwabacherstrasse, Nürnberger- und Königstrasse. Autofreie Sonntage, generell kein Autoverkehr in der Innenstadt und in der Altstadt ausser Lieferdienste, Boten, Handwerker etc",w,51-60,Südstadt,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Wiederbelebung des Spielmobils in den Schulferien, Jugendtreffs in den Stadtrandgebieten und insgesamt mehr Fokus auf Jugendliche legen da gibt es zu wenig Angebote in den Aussenbezirken, mehr Bars und Kneipen im Stadtgebiet, eine Eislaufbahn für Fürth, Radwege ausbauen, Grünflächen zum Verweilen schaffen, den Bahnhofsplatz schöner gestalten.",w,51-60,Südstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,x,,,,x,x,x,,,,
66,"Innenstadt autofrei, Ausnahmen für Elektroautos u.a.emissionsarme. VAG nur Gasbusse und umsonst. .",m,51-60,Innenstadt,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Polizei demokratisieren, verantwortlich machen, kritisieren soll möglich sein. Unternehmen, die für die Allgemeinheit arbeiten, müssen auf nazifreiheit überprüft werden (dann 86 Jahre zu spät, aber immerhin).",m,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,
66,"Drastische Strafen für Umweltschädiger (Auto umsonst laufen lasse, u.ä.) und mehr Überwachungspersonal diesbezüglich.",m,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Die dann freien Parkplätze werden Sozialräume mit viel mehr Bäumen.,m,51-60,Innenstadt,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,
66,"Ein Kulturzentrum mit Kneipe o.ä. für niederschwelliges Schau-mer-mal mit Ateliers, Treffpunkten, etc. Eine Bevölkerung , die nicht sich ständig gegenseitig anherrschen, verdächtigen, ausschließen, verdächtigen will",m,51-60,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
67,die sperrstunde in der gustavstraße verlängern oder auflösen.,w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,x,,,,,,,,,,
67,fahrradwege ausbauen,w,31-40,Innenstadt,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"ein kulturort zb in der alten Feuerwehr, ein Club (gern mit regelmäßigen Techno-parties)",w,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,x,,,,,
68,Sperrstunde auf der Gustavstraße abschaffen,m,31-40,Innenstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,
